epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1.74339,0.96292,2.29886,0.01337,0.56485,0.96944,0.94326,0.67022,1.58084,0.96612,0.01154,0,0,0
2,3.49378,1.1672,2.43933,0.01393,0.56485,0.96944,0.94326,0.67022,1.58084,0.96612,0.01154,3.9274e-05,3.9274e-05,3.9274e-05
3,5.25925,0.97877,2.76016,0.0208,0.56485,0.96944,0.94326,0.67022,1.58084,0.96612,0.01154,7.77625e-05,7.77625e-05,7.77625e-05
4,7.02684,1.43231,2.23926,0.03047,0.874,0.65271,0.93539,0.68984,1.592,0.96712,0.01193,0.000115466,0.000115466,0.000115466
5,8.90498,1.30535,2.63629,0.02237,0.874,0.65271,0.93539,0.68984,1.592,0.96712,0.01193,0.000114288,0.000114288,0.000114288
6,10.7154,1.0656,1.74354,0.01445,0.874,0.65271,0.93539,0.68984,1.592,0.96712,0.01193,0.00011311,0.00011311,0.00011311
7,12.5098,1.23933,2.4464,0.01158,0.85574,0.65531,0.94389,0.6468,1.60233,1.00407,0.01203,0.000111931,0.000111931,0.000111931
8,14.2532,0.91296,1.73916,0.00928,0.85574,0.65531,0.94389,0.6468,1.60233,1.00407,0.01203,0.000110753,0.000110753,0.000110753
9,16.0596,1.12895,2.71085,0.01695,0.85574,0.65531,0.94389,0.6468,1.60233,1.00407,0.01203,0.000109575,0.000109575,0.000109575
10,17.8895,0.93843,1.57429,0.00856,0.81133,0.64045,0.90429,0.63501,1.6113,1.02596,0.01224,0.000108397,0.000108397,0.000108397
11,19.89,1.05562,2.01271,0.01244,0.81133,0.64045,0.90429,0.63501,1.6113,1.02596,0.01224,0.000107219,0.000107219,0.000107219
12,21.9464,0.911,1.52328,0.01054,0.81133,0.64045,0.90429,0.63501,1.6113,1.02596,0.01224,0.000106041,0.000106041,0.000106041
13,23.7548,0.87028,1.56005,0.0158,0.81518,0.63298,0.90516,0.65534,1.60459,1.13558,0.01245,0.000104863,0.000104863,0.000104863
